Date,Open,High,Low,Close,Volume,Ticker
2021-03-26,117.22033917152523,118.32095867553996,115.82752552039639,118.05797576904297,94071200,AAPL
2021-03-29,118.48657836496697,119.39239466300633,117.59050410460476,118.23333740234375,80819200,AAPL
2021-03-30,116.9866198017316,117.26907943602144,115.76912522168777,116.7820816040039,85671900,AAPL
2021-03-31,118.48655874928595,120.30792565051348,117.9995609800172,118.97355651855469,118323800,AAPL
2021-04-01,120.44430093685868,120.9507753854183,119.30472042335516,119.80146026611328,75089100,AAPL
2021-04-05,120.64884289146045,122.87929380413213,119.86964340519192,122.62605285644531,88651200,AAPL
2021-04-06,123.21045341308864,123.82406801579717,122.38255857200649,122.92799377441406,80171300,AAPL
2021-04-07,122.55785759372996,124.59350465582355,121.88579830959569,124.57402801513672,83466700,AAPL
2021-04-08,125.59670230378828,126.99925804035509,125.17789142072495,126.97003936767578,88844600,AAPL
2021-04-09,126.42459968145573,129.58033511074808,126.1031794318075,129.5413818359375,106686700,AAPL
2021-04-12,129.0739151583479,129.3953355248616,127.2330638679476,127.82720184326172,91420000,AAPL
2021-04-13,128.99596262492872,131.15823376064404,128.49921542278324,130.9342041015625,91266500,AAPL
2021-04-14,131.43093339635666,131.48937073876672,128.2362298740332,128.5966033935547,87222800,AAPL
2021-04-15,130.34008581919048,131.48939338315375,130.1647588997771,131.0023956298828,89347100,AAPL
2021-04-16,130.8076234498389,131.16799709740084,129.81414368991753,130.6712646484375,84922400,AAPL
2021-04-19,130.03815636501255,131.9471944147541,129.8725788847892,131.3335723876953,94264200,AAPL
2021-04-20,131.50887932231677,132.00561168739057,128.3823471626382,129.64854431152344,94812300,AAPL
2021-04-21,128.91807261047788,130.27192605122198,127.88563953707525,130.02842712402344,68847100,AAPL
2021-04-22,129.58035833012048,130.66149395921403,127.99275572778816,128.50897216796875,84566500,AAPL
2021-04-23,128.72326849315886,131.60628729046172,128.72326849315886,130.8271026611328,78657500,AAPL
2021-04-26,131.32381490404939,131.54782970744535,130.0868364590517,131.2166748046875,66905100,AAPL
2021-04-27,131.49916682602472,131.88877406090668,130.62257655603392,130.89529418945312,66015800,AAPL
2021-04-28,130.81735115204378,131.50889459107745,129.61934068424674,130.10633850097656,107760100,AAPL
2021-04-29,132.92113173631725,133.50553482574796,129.00566670590237,130.00888061523438,151101000,AAPL
2021-04-30,128.3531289693404,130.08683981317637,127.66160046998598,128.0414581298828,109839500,AAPL
2021-05-03,128.6064163405703,130.5836417558544,128.4018855175399,129.09341430664062,75135100,AAPL
2021-05-04,127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,137564700,AAPL
2021-05-05,125.84023086704354,127.05772538948398,124.6422204183204,124.76884460449219,84000900,AAPL
2021-05-06,124.56428281581603,126.37591502452003,123.82404416158315,126.36618041992188,78128300,AAPL
2021-05-07,127.66382129004229,128.06382651595774,126.3271705323357,127.0394058227539,78973300,AAPL
2021-05-10,126.25885342470616,126.38567778466182,123.72215780429457,123.76118469238281,88071200,AAPL
2021-05-11,120.49278076667929,123.19532812082859,119.78055295740043,122.84410095214844,126142800,AAPL
2021-05-12,120.39521236408822,121.60501628867115,119.27321336720668,119.78054809570312,112172300,AAPL
2021-05-13,121.5464609574558,123.07823093502375,121.23425330099667,121.92696380615234,105861300,AAPL
2021-05-14,123.17581112527975,124.77587651193251,122.78554964091157,124.34658813476562,81918000,AAPL
2021-05-17,123.7319305977149,123.83925269137897,122.12210663637244,123.19532012939453,74244600,AAPL
2021-05-18,123.47825121325309,123.89778097564653,121.7415955505699,121.80989074707031,63342900,AAPL
