Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,Target_Direction
2021-06-07,123.09776519522116,123.2441141916509,121.790397699319,122.83434295654295,71057600,122.53724479675293,125.01345840454101,48.78532927091002,-0.8520414944015045,-0.8702576489321172,125.04235466977546,120.0321349237304,1
2021-06-08,123.51728685562117,125.33200387040456,123.13678395621102,123.65387725830078,74403800,122.53187942504883,125.12537643432617,56.45059097389657,-0.6988146795478798,-0.8359690550552699,125.02638905737481,120.03736979272284,1
2021-06-09,124.1124318358548,124.63928371308172,123.43923097435068,124.0343780517578,56877900,122.5913932800293,125.24139724731445,58.198951360776725,-0.5404481410300974,-0.7768648722502355,125.17255698392552,120.01022957613307,0
2021-06-10,123.92704498219538,125.0685610035486,122.87334876469548,123.0392074584961,71186400,122.75432624816895,125.3665397644043,45.481916004903866,-0.4895996679668997,-0.7194118313935683,124.9745762417284,120.5340762546095,1
2021-06-11,123.4489755912786,124.33682053678962,123.02944585374593,124.24900817871094,53522400,122.87042846679688,125.47204879760743,57.59490225191783,-0.3476733177382414,-0.645064128662503,125.15055420758864,120.59030272600512,1
2021-06-14,124.70757053406396,127.3613320224866,123.97583310546236,127.30279541015624,96906500,123.0182388305664,125.62207550048828,61.9858810532253,0.011091588427859733,-0.5138329852444304,125.98205553429378,120.05442212683903,0
2021-06-15,126.775974370004,127.41990699875254,126.23936384604688,126.4832763671875,62746300,123.18263664245606,125.69921997070313,59.29447577738018,0.22667406603139284,-0.3657315749892658,126.52800545811937,119.83726782679275,1
2021-06-16,127.19547914078684,127.70282128290684,125.33199905171192,126.9808349609375,91815000,123.44118385314941,125.78027679443359,60.85533694281028,0.43268582016773394,-0.20604809595786588,127.1222745212139,119.76009318508493,1
2021-06-17,126.63935317228923,129.32239025268845,126.49299676283545,128.5808868408203,96721700,123.78753814697265,125.86041397094726,71.3163252973795,0.7167996143088544,-0.02147855390452183,128.0224088945001,119.55266739944521,0
2021-06-18,127.52723008894328,128.30773825283313,127.06867335467656,127.28331756591795,108953300,123.94120483398437,125.86667953491211,68.36175581212697,0.8277174354892338,0.14836064397422932,128.45450361728243,119.42790605068632,1
2021-06-21,127.1271913132279,129.18581330080102,126.063736441913,129.0784912109375,79663300,124.27634048461914,125.85742172241211,72.99335400100625,1.048390920227689,0.3283666992249213,129.27005644602454,119.28262452321374,1
2021-06-22,128.91263161271146,130.8151460223462,128.4150406144124,130.7175750732422,74783600,124.61196479797363,125.91522918701172,74.31863843663771,1.3400889053179839,0.5307111404435338,130.37235125610727,118.85157833983997,0
2021-06-23,130.51268434910727,131.04929474301073,129.98582509428016,130.4443817138672,60214200,124.94368438720703,125.90543273925782,79.70774707143435,1.5315623418309627,0.7308813807210197,131.24803398630823,118.63933478810581,0
2021-06-24,131.17613794325877,131.36151382298493,129.69314579268672,130.16146850585938,68711000,125.26369857788086,125.9367300415039,75.00027296819383,1.6415548656187866,0.9130160777005731,131.953308704314,118.57408845144774,0
2021-06-25,130.21025787505408,130.6297802366699,129.5760764313894,129.8687744140625,70783700,125.64566574096679,125.9140576171875,73.51622257872822,1.6856753499745452,1.0675479321553676,132.47668883889835,118.81464264303524,1
2021-06-28,130.1614721527149,131.9566646084623,130.1029355337376,131.49810791015625,62111300,126.14178352355957,125.93059448242188,74.87649568575688,1.8310080271499345,1.220239951154281,133.16674488602274,119.1168221610964,1
2021-06-29,131.51761747124857,133.16646828417475,131.07857796707717,133.01036071777344,64556100,126.72961311340332,125.96413024902344,76.55914483391342,2.0446420235257534,1.3851203656285755,133.99578105397202,119.46344517283462,1
2021-06-30,132.85424351014055,134.06405473109936,132.5615455661884,133.62501525878906,63261400,127.3101245880127,126.04365966796875,82.04405279832314,2.237750593490645,1.5556464112009896,134.84060700718544,119.77964216883996,1
2021-07-01,133.27382165358517,133.98604212249344,132.45426418125246,133.92750549316406,52485800,127.97990913391114,126.12164123535156,81.00040565572047,2.38767532548178,1.7220521940571478,135.35320094488594,120.60661732293633,1
2021-07-02,134.54212006442484,136.5909908825578,134.39577852908815,136.55197143554688,78852600,128.66627883911133,126.28250122070312,80.46309223348302,2.687286853636607,1.9150991259730397,136.5565332047366,120.77602447348605,1
2021-07-06,136.65929888430668,139.66428770082487,136.65929888430668,138.5618133544922,108181800,129.4526523590088,126.43719543457031,86.88941642713068,3.051730148675091,2.14242533051345,138.00292477367256,120.90237994434501,1
2021-07-07,140.04478004189397,141.36191336128311,139.1862182535438,141.04971313476562,104911600,130.32244415283202,126.63385620117188,88.31056212380962,3.5009500329729235,2.414130271005345,139.87004537165046,120.77484293401358,0
2021-07-08,138.13252320539087,140.55213093920304,137.24467816832615,139.75210571289062,105575500,131.10833053588868,126.81099243164063,80.92948528380444,3.709493224532764,2.6732028617108288,141.05577841396865,121.1608826578087,1
2021-07-09,139.27404907544525,142.10342835570765,139.17647811244083,141.5765838623047,99890800,132.0351993560791,127.0403973388672,88.45153040804725,3.9761507543459516,2.9337924402378537,142.2673728750894,121.80302583706877,0
